kernel,N,nnz,sparsity,op_intensity_cpu,mem_mb,cpu_time_s,cpu_energy_j,gflops_cpu,bw_gbps_cpu,CPU_Cores,CPU_Freq,op_intensity_gpu,gpu_sm_count,gpu_freq_ghz,gpu_mem_gb,gpu_mem_bw_gbps,gpu_time_s,gpu_energy_j,gflops_gpu,bw_gbps_gpu,speedup,ilp_label,ilp_obj
SpMV,150000,225000000,0.01,0.166482,2703,0.086363725,7.03085,5.2105,31.2979,8,3.2,0.14006608,24,1.112,24.0468,288.384,0.0065657149,1.1015155,18.182405,127.472,13.153743,0,287.04329
SpMV,200000,400000000,0.01,0.166528,4804,0.15828597,12.8135,5.0541,30.3501,8,3.2,1.2159124,24,1.112,24.0468,288.384,0.010393967,1.6773151,33.65654,109.00374,15.228639,0,287.04329
SpMV,250000,625000000,0.01,0.166556,7505,0.3412679,26.0188,3.6628,21.9915,8,3.2,0.14709225,24,1.112,24.0468,288.384,0.019290446,3.1666282,19.892,135.832,17.691032,0,287.04329
SpMV,300000,900000000,0.01,0.166574,10806,0.60560113,44.4244,2.9723,17.8434,8,3.2,0.1493395,24,1.112,24.0468,288.384,0.028521241,4.6067009,19.666825,132.8695,21.233337,0,287.04329
SpMV,1000,1000,0.001,0.0624922,0.032,2.943034e-06,0.000201965,0.6796,10.8745,8,3.2,0.0825824,24,1.112,24.0468,288.384,1.331585e-05,0.0016288625,0.4794285,4.3792,0.22101736,0,287.04329
SpMV,2000,4000,0.001,0.090905,0.088,3.790145e-06,0.000243957,2.1107,23.2192,8,3.2,0.09243555,24,1.112,24.0468,288.384,1.492145e-05,0.0016888375,1.646911,12.565508,0.25400648,0,287.04329
SpMV,5000,25000,0.001,0.124999,0.4,1.1354546e-05,0.00069232,4.4035,35.2285,8,3.2,0.10282145,24,1.112,24.0468,288.384,2.34829e-05,0.00255208,3.8570982,28.387463,0.48352401,0,287.04329
SpMV,10000,100000,0.001,0.142857,1.4,2.7005645e-05,0.00207318,7.4059,51.8412,8,3.2,0.10794735,24,1.112,24.0468,288.384,4.10326e-05,0.0056353775,7.3921275,52.8825,0.65815096,0,287.04329
SpMV,12500,156250,0.001,0.147059,2.125,3.964037e-05,0.0030971,7.8834,53.6071,8,3.2,0.11136507,24,1.112,24.0468,288.384,5.37083e-05,0.0078031375,8.60267,61.5024,0.73806786,0,287.04329
SpMV,15000,225000,0.001,0.15,3,5.5186668e-05,0.00437536,8.1541,54.361,8,3.2,0.11407033,24,1.112,24.0468,288.384,6.8771225e-05,0.010623585,9.5970425,68.73525,0.80246743,0,287.04329
